id,title,author,description,price,categories
4,Deacon King Kong,James McBride,"Deacon King Kong is fast, deep, complex, and hilarious. McBride's prose is shimmering and moving, a living thing that has its own rhythm, pulls you in from the first page and never lets go. His story focuses on the people that make the Big Apple what it is: the strange, the poor, the insane, the mobsters.",41.99,['Fiction']
6,Hamnet,Kate Maggie,"et in Stratford, England, in the late 16th century, Hamnet imagines the emotional, domestic, and artistic repercussions after the world's most famous (though never named) playwright and his wife lose their only son, 11-year-old Hamnet, to the bubonic plague in 1596.",34.33,['Nonfiction']
7,Algorithms,Jake Peter,"This fourth edition of Robert Sedgewick and Kevin Wayne's Algorithms is the leading textbook on algorithms today and is widely used in colleges and universities worldwide. This book surveys the most important computer algorithms currently in use and provides a full treatment of data structures and algorithms for sorting, searching, graph processing, and string processing -- including fifty algorithms every programmer should know. In this edition, new Java implementations are written in an accessible modular programming style, where all of the code is exposed to the reader and ready to use.",23.99,"['Academic', 'For Student']"
8,Flora and Ulysses,Flora and Ulysses,"It tells the story of Flora Belle Buckman and a squirrel named Ulysses. The illustrations include full-page and small pencil drawings, together with comic-book panels describing the gang's adventures.",45.0,"['Literature', 'Fiction']"
9,Machine Learning with python,Jerry Lore,"This practical guide provides nearly 200 self-contained recipes to help you solve machine learning challenges you may encounter in your daily work. If you’re comfortable with Python and its libraries, including pandas and scikit-learn, you’ll be able to address specific problems such as loading data, handling text or numerical data, model selection, and dimensionality reduction and many other topics.\r\n\r\nEach recipe includes code that you can copy and paste into a toy dataset to ensure that it actually works. From there, you can insert, combine, or adapt the code to help construct your application. Recipes also include a discussion that explains the solution and provides meaningful context. This cookbook takes you beyond theory and concepts by providing the nuts and bolts you need to construct working machine learning applications.",20.55,"['Academic', 'For Student']"
10,The Clean Coder,Robert Martin,"In The Clean Coder: A Code of Conduct for Professional Programmers, legendary software expert Robert C. Martin introduces the disciplines, techniques, tools, and practices of true software craftsmanship. This book is packed with practical advice–about everything from estimating and coding to refactoring and testing",38.49,"['Academic', 'For Student']"
2,The Programming Coventions,J.J Lorem,"In high-quality software, you can see a relationship between the conceptual integrity of the architecture and its low-level implementation. The implementation must be consistent with the architecture that guides it and consistent internally. That's the point of construction guidelines for variable names, class names, routine names, formatting conventions, and commenting conventions.",25.99,"['Academic', 'For Student']"
11,Everybody belongs to everyone else,Garry Parker,"Everyone belongs to everyone else.” This is a line from the social conditioning recordings that different characters repeat throughout the text. It means that no relationship, especially no sexual relationship, is more important than any other, and every person has the right to have sex with anyone else.",10.11,"['Fiction', 'Romance']"
13,Ralph Ellison,Jake Peter,"Invisible Man, novel by Ralph Ellison, published in 1952. ... SUMMARY: The narrator of Invisible Man is a nameless young black man who moves in a 20th-century United States where reality is surreal and who can survive only through pretense.",55.0,['Fiction']
15,Why Nations Fail,James Robinson,"“Why Nations Fail” is a sweeping attempt to explain the gut-wrenching poverty that leaves 1.29 billion people in the developing world struggling to live on less than $1.25 a day. You might expect it to be a bleak, numbing read. It's not. It's bracing, garrulous, wildly ambitious and ultimately hopeful.",56.0,"['Economics', 'For Student']"
